Company,Website,COD,Coverage,Confirmation / Call-center,Notes,Status
Ozonexpress,https://ozonexpress.ma,Yes,National,Yes,Very popular COD courier; seller dashboard + integrations,Verify pricing
Sendit,https://sendit.ma,Yes,National,Yes,Founded 2023; fast sorting; strong seller tooling,Verify pricing
Cathedis,https://cathedis.ma,Yes,Urban + national,Yes,Established; good for city zones,Verify pricing
Ameex,https://ameex.ma,Yes,Urban,Yes,Recommended for big-city delivery,Verify URL/pricing
High Delivery,https://highdelivery.ma,Yes,National,Yes (free),Free order-confirmation & follow-up in base offer,Verify URL/pricing
Livo,https://livo.ma,Yes,National,Yes,COD-focused e-commerce delivery,Verify pricing
Truship,https://truship.ma,Yes,National,Yes,COD + express 24h,Verify pricing
Atlas Livraison,https://atlaslivraison.ma,Yes,National,Yes,Particuliers + e-commerçants,Verify pricing
Amana (Poste Maroc),https://baridalmaghrib.ma,Yes,National incl. rural,Partial,Best reach for villages / remote areas,Verify pricing
Chrono Diali (CTM),https://ctm.ma,Yes,National,Yes,Backed by CTM transport network,Verify URL/pricing
Digylog,https://digylog.ma,Yes,National,Yes,Fulfillment + COD logistics,Verify URL/pricing
